#TradeId,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,Notional,Notional(Base),NettingSet,CounterParty
FS_1.CP_12.CP_7.TL_0.TRADE_9783.COPY_0,Swap,2017-07-26,1.468755,936464.007799,EUR,936464.007799,EUR,72388338.28,72388338.28,FS_1.CP_12.CP_7.TL_0,FS_1.CP_7
FS_1.CP_1.CP_10.TL_0.TRADE_1951.COPY_0,Swap,2017-05-02,1.235878,-584947.905949,EUR,-584947.905949,EUR,59921059.27,59921059.27,FS_1.CP_1.CP_10.TL_0,FS_1.CP_10
FS_1.CP_10.CP_1.TL_0.TRADE_1951.COPY_0,Swap,2017-05-02,1.235878,584947.905949,EUR,584947.905949,EUR,59921059.27,59921059.27,FS_1.CP_10.CP_1.TL_0,FS_1.CP_1
FS_1.CP_1.CP_10.TL_0.TRADE_2616.COPY_0,FxForward,2019-05-28,3.307111,-11297587.713972,EUR,-11297587.713972,EUR,71700817.33,71700817.33,FS_1.CP_1.CP_10.TL_0,FS_1.CP_10
FS_1.CP_10.CP_1.TL_0.TRADE_2616.COPY_0,FxForward,2019-05-28,3.307111,12792676.579276,USD,11297587.713972,EUR,82228197.60,72618131.88,FS_1.CP_10.CP_1.TL_0,FS_1.CP_1
FS_1.CP_1.CP_10.TL_0.TRADE_2640.COPY_0,Swap,2023-01-31,6.986563,1338387.028938,EUR,1338387.028938,EUR,7688250.55,7688250.55,FS_1.CP_1.CP_10.TL_0,FS_1.CP_10
FS_1.CP_10.CP_1.TL_0.TRADE_2640.COPY_0,Swap,2023-01-31,6.986563,-1338387.028938,EUR,-1338387.028938,EUR,7688250.55,7688250.55,FS_1.CP_10.CP_1.TL_0,FS_1.CP_1
FS_1.CP_1.CP_10.TL_0.TRADE_3476.COPY_0,Swap,2020-08-06,4.500000,-1846078.328480,EUR,-1846078.328480,EUR,60764499.11,60764499.11,FS_1.CP_1.CP_10.TL_0,FS_1.CP_10
FS_1.CP_10.CP_1.TL_0.TRADE_3476.COPY_0,Swap,2020-08-06,4.500000,1846078.328480,EUR,1846078.328480,EUR,60764499.11,60764499.11,FS_1.CP_10.CP_1.TL_0,FS_1.CP_1
FS_1.CP_1.CP_10.TL_0.TRADE_4668.COPY_0,FxForward,2020-07-21,4.456284,-6704020.359382,EUR,-6704020.359382,EUR,37561687.84,37561687.84,FS_1.CP_1.CP_10.TL_0,FS_1.CP_10
FS_1.CP_10.CP_1.TL_0.TRADE_4668.COPY_0,FxForward,2020-07-21,4.456284,7591210.301682,USD,6704020.359382,EUR,42697600.65,37707502.85,FS_1.CP_10.CP_1.TL_0,FS_1.CP_1
FS_1.CP_1.CP_10.TL_0.TRADE_5518.COPY_0,FxForward,2019-07-01,3.400262,-5708725.352360,EUR,-5708725.352360,EUR,40949241.65,40949241.65,FS_1.CP_1.CP_10.TL_0,FS_1.CP_10
FS_1.CP_10.CP_1.TL_0.TRADE_5518.COPY_0,FxForward,2019-07-01,3.400262,6464200.939315,USD,5708725.352360,EUR,48136667.81,42510902.51,FS_1.CP_10.CP_1.TL_0,FS_1.CP_1
FS_1.CP_1.CP_10.TL_0.TRADE_5673.COPY_0,Swap,2021-08-13,5.518070,2044220.664798,EUR,2044220.664798,EUR,36926254.69,36926254.69,FS_1.CP_1.CP_10.TL_0,FS_1.CP_10
FS_1.CP_10.CP_1.TL_0.TRADE_5673.COPY_0,Swap,2021-08-13,5.518070,-2044220.664798,EUR,-2044220.664798,EUR,36926254.69,36926254.69,FS_1.CP_10.CP_1.TL_0,FS_1.CP_1
FS_1.CP_1.CP_10.TL_0.TRADE_5742.COPY_0,Swap,2017-11-09,1.759166,-36149.182166,EUR,-36149.182166,EUR,17361508.42,17361508.42,FS_1.CP_1.CP_10.TL_0,FS_1.CP_10
